"ads","Название","price","Статус","date","Адрес","Застройщик","Ссылка","class","floor","ceiling","structure","finishing","Количество.квартир","kitchen","heating","Лифт","Фасад","parking","Квартир.в.продаже","city"
28,"ЖК Capital Residence в Шымкенте",705000,"Строящийся","IV квартал 2024 г.","Шымкент, Аль-Фарабийский р-н, Проспект Динмухамеда Кунаева, 63а","Capital Invest Construction","https://krisha.kz/complex/show/shymkent/capitalresidence/","elite","16 этажей","3 м","monolithic","shell",97,"discrete","autonomous","Не указано","Не указано","underground","95","shymkent"
29,"ЖК Firkan Primo в Шымкенте",6e+05,"Строящийся","IV квартал 2024 г.","Шымкент, пр. Кунаева, 45","Firkan","https://krisha.kz/complex/show/shymkent/firkanprimo/","business","11-13 этажей","3.2 м","monolithic","shell",155,"discrete","central","грузовой, пассажирский","травертин","both","125","shymkent"
30,"ЖК Janybek Kerei в Шымкенте",NA,"Строящийся","IV квартал 2024 г.","Шымкент, Абайский р-н, ​Улица Дархан","Batsu","https://krisha.kz/complex/show/shymkent/janybekkerei/","business","5 этажей","3 м","brick","pre-finish",200,"na","central","пассажирский","Не указано","surface","200","shymkent"
31,"ЖК Jas Kanat в Шымкенте",330000,"Строящийся","IV квартал 2024 г.","Шымкент, ул. Байдибек би, 126/7","OKS Group","https://krisha.kz/complex/show/shymkent/jaskanat/","business","9 этажей","3 м","monolithic","pre-finish",271,"discrete","autonomous","пассажирский","гранит","underground","Не указано","shymkent"
32,"ЖК Latifa в Шымкенте",405000,"Строящийся","II квартал 2024 г.","Шымкент, ул. Володарского угол ул. Айтеке Би","SDN Construction","https://krisha.kz/complex/show/shymkent/latifa/","comfort","12 этажей","3 м","monolithic","shell",140,"both","autonomous","грузовой, пассажирский","вентилируемый фасад","both","18","shymkent"
33,"ЖК New Life в Шымкенте",377500,"Строящийся","II квартал 2024 г.","Шымкент, Каратауский р-н, квартал 189","ДИС","https://krisha.kz/complex/show/shymkent/newlife/","business","12 этажей","3.3 м","monolithic","pre-finish",684,"discrete","central","грузовой, пассажирский","Не указано","underground","684","shymkent"
34,"ЖК Otbasy в Шымкенте",360000,"Строящийся","III квартал 2024 г.","Шымкент, ул. Толеметова, 106/3","ТОО Kanfar Building","https://krisha.kz/complex/show/shymkent/otbasy/","comfort","9 этажей","2.7 м","monolithic","pre-finish",1487,"discrete","central","грузовой","фиброцементные панели","surface","173","shymkent"
35,"ЖК Рамадан в Шымкенте",275000,"Строящийся","Первая очередь - II квартал 2024 г.Вторая очередь - II квартал 2025 г.","Шымкент, мкр. Бозарык, 3195/1","Mega Stroy 2019","https://krisha.kz/complex/show/shymkent/ramadan/","comfort","10 этажей","3 м","monolithic","pre-finish",192,"discrete","central","пассажирский","Не указано","both","114","shymkent"
36,"ЖК Туран в Шымкенте",390000,"Строящийся","III квартал 2024 г.","Шымкент, Туран р-н, ул. Октябрьская, 26","ТОО Kanfar Building","https://krisha.kz/complex/show/shymkent/turan/","comfort","9 этажей","3 м","monolithic","shell",80,"discrete","central","пассажирский","фиброцементные панели, гранит","underground","80","shymkent"
37,"Бигвилль Arman Qala в Шымкенте",296000,"Строящийся","Первая очередь - II квартал 2023 г.Вторая очередь - II квартал 2024 г.Третья очередь - II квартал 2025 г.","Шымкент, ул. ​Туркия , 1280/2","BI Group","https://krisha.kz/complex/show/shymkent/armanqala/","comfort","16 этажей","2.7 м","monolithic","pre-finish",278,"discrete","central","грузопассажирский","клинкерный кирпич, декоративная штукатурка","surface","Не указано","shymkent"
38,"ЖК Atlant в Шымкенте",280000,"Строящийся","Первая очередь - II квартал 2024 г.Вторая очередь - IV квартал 2024 г.Третья очередь - II квартал 2024 г.Четвертая очередь - I квартал 2025 г.Пятая очередь - II квартал 2025 г.","Шымкент, ул. Байдибек би, 22/1","ER-DAM Investment","https://krisha.kz/complex/show/shymkent/atlant/","comfort","12 этажей","2.8 м","monolithic","pre-finish",291,"discrete","autonomous","Не указано","декоративная штукатурка","surface","251","shymkent"
39,"ЖК Hayat River в Шымкенте",390000,"Строящийся","III квартал 2023 г.","Шымкент, Аль-Фарабийский р-н, ​Улица Турысова, 1/12","Alem Group","https://krisha.kz/complex/show/shymkent/hayatriver/","business","6 этажей","3 м","brick","pre-finish",102,"discrete","central","пассажирский","Не указано","surface","46","shymkent"
