"ads","Название","price","Статус","date","Адрес","Застройщик","Ссылка","class","floor","ceiling","structure","finishing","Количество.квартир","kitchen","heating","Лифт","Фасад","parking","Квартир.в.продаже","city"
0,"ЖК АДАЛ в Аксае",235000,"Строящийся","Первая очередь - III квартал 2023 г.Вторая очередь - IV квартал 2024 г.","Аксай, 7 микрорайон, 12Б","ТОО НазТур","https://krisha.kz/complex/show/aksai/adal/","comfort","5 этажей","3 м","monolithic","pre-finish",116,"na","na","Не указано","Не указано","na","Не указано","aksaj"
0,"ЖК NASREDDIN в Аксу",3e+05,"Строящийся","III квартал 2024 г.","Аксу, ул. Ауезова 65/1","ND Group","https://krisha.kz/complex/show/aksu/nasreddin/","business","3 этажа","3 м","brick","shell",12,"discrete","central","Не указано","травертин","both","12","aksu"
0,"ЖК MONACO в Актау",4e+05,"Строящийся","I квартал 2026 г.","Актау, 7a микрорайон, 12/6","ТОО ""KazStroyPremium-2007""","https://krisha.kz/complex/show/aktau/monaco/","business","10 этажей","3.3 м","monolithic","shell",80,"discrete","central","грузовой, пассажирский","Не указано","both","80","aktau"
1,"ЖК Ilan Tower в Актау",560000,"Строящийся","II квартал 2025 г.","Актау, 15 микрорайон","Caspian Coast","https://krisha.kz/complex/show/aktau/ilantower/","elite","16 этажей","3.2 м","monolithic","shell",82,"discrete","autonomous","грузовой, пассажирский","hpl-панели","underground","69","aktau"
2,"ЖК Rauda в Актау",215000,"Строящийся","IV квартал 2024 г.","Актау, 29А микрорайон, уч 130/5","Alan Towers Construction","https://krisha.kz/complex/show/aktau/rauda/","comfort","6 этажей","3 м","brick","shell",215,"discrete","central","пассажирский","Не указано","surface","200","aktau"
3,"ЖК Blue Waters в Актау",720000,"Строящийся","IV квартал 2025 г.","Актау, 15 мкр, 48 участок","Iksor Development","https://krisha.kz/complex/show/aktau/bluewaters/","business","22 этажа","3 м","monolithic","shell",179,"both","autonomous","грузовой, пассажирский","Не указано","both","179","aktau"
4,"ЖК Taras в Актау",390000,"Строящийся","IV квартал 2024 г.","Актау, 7А мкр., уч.№18","Caspian Coast","https://krisha.kz/complex/show/aktau/taras/","elite","12 этажей","3 м","monolithic","pre-finish",186,"both","autonomous","грузовой, пассажирский","фиброцементные панели","underground","186","aktau"
5,"ЖК White House Residence в Актау",380000,"Строящийся","III квартал 2024 г.","Актау, 15-й мкр.","Nur Service","https://krisha.kz/complex/show/aktau/whitehouseresidence/","elite","16 этажей","3 м","monolithic","shell",173,"na","na","грузовой, пассажирский","Не указано","both","Не указано","aktau"
6,"ЖК Асемай 2 в Актау",2e+05,"Строящийся","I квартал 2026 г.","Актау, 41 мкр 5/6","Гранит-Бетон","https://krisha.kz/complex/show/aktau/asemay2/","business","10 этажей","3.2 м","monolithic","pre-finish",227,"discrete","central","грузовой, пассажирский","Не указано","surface","170","aktau"
7,"Коттеджный городок Rixos Golf&Villas Aktau в Актау",1e+06,"Строящийся","2025 г.","Актау, ул. Теплый пляж, 34","SEMBOL INSAAT","https://krisha.kz/complex/show/aktau/rixosgolsvillas/","elite","2 этажа","3.4 м","brick","shell",98,"na","na","Не указано","Не указано","na","Не указано","aktau"
8,"ЖК AULET в Актау",180000,"Строящийся","IV квартал 2025 г.","Актау, 35 мкр","Ansar Development","https://krisha.kz/complex/show/aktau/aulet/","comfort","5 этажей","3.1 м","brick","shell",110,"na","autonomous","Не указано","Не указано","surface","Не указано","aktau"
9,"ЖК Lagyl Tas в Актау",280000,"Строящийся","II квартал 2025 г.","Актау, 41 мкр.","Барьер Плюс","https://krisha.kz/complex/show/aktau/lagyltas/","comfort","8 этажей","3 м","brick","shell",522,"discrete","central","грузопассажирский","керамический кирпич","surface","Не указано","aktau"
10,"Клубный дом Soho 14 в Актау",870000,"Строящийся","III квартал 2024 г.","Актау, 14 микрарайон","K7 Group","https://krisha.kz/complex/show/aktau/soho14/","elite","3-10 этажей","3.2 м","monolithic","pre-finish",79,"both","autonomous","Не указано","hpl-панели","both","Не указано","aktau"
11,"ЖК Grand Avenue 2 в Актау",280000,"Строящийся","II квартал 2024 г.","Актау, 28 микрорайон, 75 участок","NB Holding","https://krisha.kz/complex/show/aktau/grandavenue2/","business","11 этажей","3 м","monolithic","shell",180,"na","na","грузовой, пассажирский","Не указано","both","Не указано","aktau"
12,"Таунхаус Aktau Terrace Avenue в Актау",301000,"Строящийся","Первая очередь - II квартал 2024 г.Вторая очередь - II квартал 2024 г.Третья очередь - III квартал 2024 г.","Актау, Побережье Каспийского моря, рядом с Rixos Water World","ТОО AVD-Group","https://krisha.kz/complex/show/aktau/terraceavenue/","elite","3 этажа","2.8 м","brick","shell",42,"na","autonomous","Не указано","Не указано","surface","25","aktau"
13,"ЖК Alem Towers в Актау",NA,"Строящийся","2024 г.","Актау, 17мкр., 98 участок","ЖСК Alem Towers","https://krisha.kz/complex/show/aktau/alemtowers/","comfort","12 этажей","3.2 м","monolithic","shell",118,"discrete","central","пассажирский","фиброцементные панели","both","118","aktau"
14,"ЖК Golden Sand Apartments в Актау",295000,"Строящийся","II квартал 2024 г.","Актау, база отдыха «Теплый пляж», уч. 71/16","Dara Qurylys Qazaqstan","https://krisha.kz/complex/show/aktau/goldensandapartments/","comfort","5 этажей","3.3 м","monolithic","shell",79,"discrete","central","Не указано","фиброцементные панели","surface","79","aktau"
15,"ЖК Bodrum Aparts в Актау",3e+05,"Строящийся","IV квартал 2024 г.","Актау, 20 км. от города, район Теплый пляж","Azamat building","https://krisha.kz/complex/show/aktau/bodrumaparts/","business","3-4-5 этажей","3 м","brick","shell",108,"discrete","autonomous","пассажирский","травертин","surface","80","aktau"
16,"ЖК Aruana в Актау",220000,"Строящийся","IV квартал 2024 г.","Актау, 19А мкр, участок 33","АБК Stroy Aktau","https://krisha.kz/complex/show/aktau/aruana/","business","6 этажей","3.3 м","brick","pre-finish",54,"both","central","пассажирский","фиброцементные панели","surface","54","aktau"
17,"ЖК Asiya в Актау",140000,"Строящийся","IV квартал 2024 г.","Актау, мкр. 29а, участок 69/1","Nurali Stroy","https://krisha.kz/complex/show/aktau/asiya/","comfort","7 этажей","3 м","brick","shell",140,"discrete","central","пассажирский","облицовочный кирпич","surface","120","aktau"
18,"ЖК The Boon в Актау",210000,"Строящийся","III квартал 2024 г.","Актау, 41 микрорайон, 2","KaspiStroy","https://krisha.kz/complex/show/aktau/theboon/","comfort","7 этажей","3 м","brick","pre-finish",190,"discrete","central","грузопассажирский","Не указано","surface","190","aktau"
19,"ЖК Family Home в Актау",155000,"Строящийся","Первая очередь - IV квартал 2024 г.Вторая очередь - IV квартал 2025 г.","Актау, мкрн. 32В","Family Group Construction","https://krisha.kz/complex/show/aktau/familyhome/","comfort","5 этажей","3.1 м","monolithic","shell",200,"discrete","autonomous","грузопассажирский","фиброцементные панели","surface","200","aktau"
20,"ЖК IVUSHKA Family Resort в Актау",4e+05,"Строящийся","III квартал 2024 г.","Актау, б/о Теплый пляж, уч.53/1 (23 км. От г.Актау)","Жаңа қазба","https://krisha.kz/complex/show/aktau/ivushkafamilyresort/","comfort","2 этажа","3.2 м","brick","finish",200,"discrete","central","Не указано","фиброцементные панели","surface","130","aktau"
21,"ЖК Кыран в Актау",220000,"Строящийся","Первая очередь - III квартал 2024 г.Вторая очередь - IV квартал 2025 г.","Актау, 33 микрорайон","ТОО Capital Active","https://krisha.kz/complex/show/aktau/kyran/","comfort","7 этажей","3 м","brick","shell",280,"discrete","central","пассажирский","облицовочный кирпич","surface","70","aktau"
22,"ЖК MANHATTAN в Актау",285000,"Строящийся","III квартал 2024 г.","Актау, 41 мкр.","K7 Group","https://krisha.kz/complex/show/aktau/manhattan/","comfort","7 этажей","3 м","brick","pre-finish",738,"discrete","central","грузовой","Не указано","surface","90","aktau"
23,"ЖК Мизам в Актау",145000,"Строящийся","2024 г.","Актау, 32В мкр.","АА-Стройинжиниринг","https://krisha.kz/complex/show/aktau/mizam/","economy","6 этажей","3 м","brick","shell",50,"discrete","na","Не указано","Не указано","na","Не указано","aktau"
24,"ЖК Мунара в Актау",160000,"Строящийся","IV квартал 2024 г.","Актау, Микрорайон 29а, 38/8","ТОО ""ХАЙ-САР""","https://krisha.kz/complex/show/aktau/munara/","comfort","7 этажей","3 м","brick","shell",826,"na","central","пассажирский","Не указано","surface","238","aktau"
25,"ЖК Nurbergen в Актау",280000,"Строящийся","IV квартал 2024 г.","Актау, мкр.16, участок 17","Nurali Stroy","https://krisha.kz/complex/show/aktau/nurbergen/","elite","10 этажей","3.2 м","monolithic","shell",165,"discrete","central","пассажирский, грузопассажирский","Не указано","underground","160","aktau"
26,"ЖК Premier в Актау",380000,"Строящийся","IV квартал 2024 г.","Актау, 14 микрорайон, 84","ТОО Юпитер строй сервис","https://krisha.kz/complex/show/aktau/premier/","business","9 этажей","3.3 м","monolithic","shell",233,"discrete","central","пассажирский, грузопассажирский","фиброцементные панели","both","100","aktau"
27,"ЖК Sarmat в Актау",169000,"Строящийся","IV квартал 2024 г.","Актау, 20-й мкр.","K7 Group","https://krisha.kz/complex/show/aktau/sarmat/","economy","7 этажей","2.8 м","brick","pre-finish",54,"discrete","central","Не указано","облицовочный кирпич","surface","50","aktau"
28,"ЖК Шахар Towers в Актау",250000,"Строящийся","2024 г.","Актау, 18-й мкр , 18 микрорайон, 43/1","Ауес и К","https://krisha.kz/complex/show/aktau/shahartowers/","elite","15 этажей","3.2 м","monolithic","pre-finish",300,"discrete","central","грузовой, пассажирский","травертин","both","120","aktau"
29,"ЖК TOWNVILLE в Актау",179000,"Строящийся","IV квартал 2024 г.","Актау, 21-й микрорайон","K7 Group","https://krisha.kz/complex/show/aktau/townville/","comfort","3 этажа","3.2 м","brick","shell",404,"discrete","autonomous","Не указано","Не указано","surface","3","aktau"
30,"ЖК TUBA в Актау",250000,"Строящийся","III квартал 2024 г.","Актау, 40 мкр.","ASER stroi service","https://krisha.kz/complex/show/aktau/tuba/","comfort","10 этажей","3.2 м","monolithic","shell",700,"studio","central","грузовой, пассажирский","Не указано","surface","700","aktau"
31,"ЖК Caspian Deluxe на берегу моря в Актау",450000,"Строящийся","IV квартал 2023 г.","Актау, Микрорайон 5А, участок 8/1","TOO Arkantor","https://krisha.kz/complex/show/aktau/caspiandeluxe/","elite","8 этажей","3.3 м","monolithic","pre-finish",23,"both","autonomous","пассажирский","фиброцементные панели, гранит, травертин","underground","Не указано","aktau"
32,"ЖК Бозжыра в Актау",250000,"Строящийся","IV квартал 2023 г.","Актау, ​16-й микрорайон, 8","ТОО Grand Stroy AST","https://krisha.kz/complex/show/aktau/bozhyra/","business","10-11 этажей","3 м","monolithic","pre-finish",160,"na","na","пассажирский","Не указано","surface","Не указано","aktau"
33,"ЖК Морской бриз в Актау",135000,"Строящийся","II квартал 2023 г.","Актау, мкр Приморский, Приморский район,улица Теннистая, 56","ТОО Grand Stroy AST","https://krisha.kz/complex/show/aktau/morskoybriz/","economy","5 этажей","3 м","brick","shell",68,"discrete","central","Не указано","облицовочный кирпич","surface","15","aktau"
34,"Таунхаус Caspi Resort в Актау",350000,"Строящийся","III квартал 2023 г.","Актау, 27 км.от города Актау","KAZ Investment Company","https://krisha.kz/complex/show/aktau/caspiresort/","business","2 этажа","3.3 м","brick","shell",19,"discrete","autonomous","Не указано","Не указано","surface","19","aktau"
35,"ЖК Del Marmo в Актау",330000,"Строящийся","I квартал 2023 г.","Актау, 14 микрорайон, участок № 2","ТОО SК Bazalt","https://krisha.kz/complex/show/aktau/delmarmo/","business","10 этажей","3 м","monolithic","shell",54,"na","na","грузовой, пассажирский","Не указано","underground","Не указано","aktau"
36,"ЖК Достык в Актау",180000,"Строящийся","II квартал 2023 г.","Актау, 20 мкр., 39 участок","СК Строй Монтаж","https://krisha.kz/complex/show/aktau/dostyk/","comfort","6 этажей","3.2 м","brick","shell",126,"discrete","central","Не указано","Не указано","na","126","aktau"
37,"ЖК Капитал в Актау",255000,"Строящийся","I квартал 2023 г.","Актау, 11-й мкр., 58","АА-Стройинжиниринг","https://krisha.kz/complex/show/aktau/kapital/","business","9 этажей","3.1 м","monolithic","shell",91,"na","na","Не указано","Не указано","underground","Не указано","aktau"
38,"ЖК Мансур в Актау",160000,"Строящийся","IV квартал 2023 г.","Актау, 20 мкр., 19, 22","TOO Caspian Company LTD","https://krisha.kz/complex/show/aktau/mansur/","elite","10 этажей","3 м","monolithic","pre-finish",100,"discrete","central","Не указано","Не указано","surface","Не указано","aktau"
39,"ЖК Medina Park в Актау",290000,"Строящийся","IV квартал 2023 г.","Актау, 33 мкр., 28 участок","AS Kurylys","https://krisha.kz/complex/show/aktau/medinapark/","elite","9 этажей","3.2 м","monolithic","pre-finish",120,"discrete","central","пассажирский","фиброцементные панели","both","100","aktau"
40,"ЖК NK Towers в Актау",210000,"Строящийся","III квартал 2023 г.","Актау, 20 Микрорайон","ТОО ""NK Alliance""","https://krisha.kz/complex/show/aktau/nktowers/","business","9 этажей","3.3 м","monolithic","pre-finish",36,"na","central","грузопассажирский","Не указано","surface","Не указано","aktau"
41,"ЖК Самал в Актау",270000,"Строящийся","III квартал 2023 г.","Актау, 18-й мкр , 18 мкр., участок 11","Zelmar Stroy","https://krisha.kz/complex/show/aktau/samal/","comfort","11 этажей","3.1 м","monolithic","shell",196,"discrete","central","грузовой, пассажирский","Не указано","surface","196","aktau"
42,"ЖК Сеним в Актау",170000,"Строящийся","I квартал 2023 г.","Актау, 29А мкр.","Elite Group","https://krisha.kz/complex/show/aktau/senim/","comfort","5 этажей","3.2 м","brick","shell",210,"discrete","central","Не указано","облицовочный кирпич","surface","210","aktau"
43,"ЖК Lumiere в Актау",310000,"Строящийся","Первая очередь - IV квартал 2022 г.Вторая очередь - I квартал 2024 г.","Актау, 20 микрорайон","Барьер Плюс","https://krisha.kz/complex/show/aktau/lumiere/","comfort","7 этажей","3 м","brick","pre-finish",160,"na","na","грузопассажирский","Не указано","surface","Не указано","aktau"
0,"ЖК Novo Park в Актобе",255000,"Строящийся","III квартал 2025 г.","Актобе, Микрорайон Алтын Орда, 349","ТОО ""NOVO Stroi""","https://krisha.kz/complex/show/aktobe/novopark/","comfort","5 этажей","3 м","brick","shell",52,"discrete","autonomous","Не указано","Не указано","na","42","aktobe"
1,"ЖК Orda Palace в Актобе",320000,"Строящийся","IV квартал 2024 г.","Актобе, район Астана , мкр Батыс-2 участок 11Б","BS Holding","https://krisha.kz/complex/show/aktobe/ordapalace/","comfort","10 этажей","3 м","brick","shell",147,"discrete","central","грузовой, пассажирский","Не указано","surface","145","aktobe"
2,"ЖК TUMAR 7 в Актобе",230000,"Строящийся","I квартал 2025 г.","Актобе, район Батыс 2, уч. 2","Center Group","https://krisha.kz/complex/show/aktobe/tumar7/","comfort","9 этажей","3 м","brick","shell",630,"discrete","autonomous","пассажирский","керамический кирпич","surface","70","aktobe"
3,"ЖК Бавария Silver в Актобе",240000,"Строящийся","II квартал 2025 г.","Актобе, Батыс 2, уч. 1К","Center Group","https://krisha.kz/complex/show/aktobe/bavariasilver/","comfort","9 этажей","3 м","brick","shell",216,"discrete","autonomous","пассажирский","керамический кирпич","surface","216","aktobe"
4,"ЖК SUNQAR 3 в Актобе",NA,"Строящийся","IV квартал 2024 г.","Актобе, Микрорайон Алтын Орда, 340/1","Sunqar","https://krisha.kz/complex/show/aktobe/sunqar3/","comfort","9 этажей","3 м","brick","pre-finish",153,"na","autonomous","грузовой, пассажирский","Не указано","surface","104","aktobe"
5,"ЖК AMSTERDAM в Актобе",280000,"Строящийся","IV квартал 2024 г.","Актобе, Микрорайон Батыс 2, 11в/1","ТОО Samet International","https://krisha.kz/complex/show/aktobe/amsterdam/","business","5 этажей","3 м","brick","shell",240,"na","na","грузопассажирский","Не указано","surface","216","aktobe"
6,"ЖК Batys Towers в Актобе",260000,"Строящийся","III квартал 2024 г.","Актобе, мкрн Батыс-2, участок 2","Center Group","https://krisha.kz/complex/show/aktobe/batystowers/","comfort","9 этажей","3 м","brick","shell",420,"discrete","central","пассажирский","Не указано","surface","420","aktobe"
7,"ЖК Bavaria De Luxe в Актобе",280000,"Строящийся","Первая очередь - II квартал 2023 г.Вторая очередь - II квартал 2024 г.","Актобе, район Батыс 2, уч. 1К","Center Group","https://krisha.kz/complex/show/aktobe/lbavariadeluxe/","comfort","5 этажей","3 м","brick","shell",100,"na","na","Не указано","Не указано","na","Не указано","aktobe"
8,"ЖК Status Center в Актобе",550000,"Строящийся","IV квартал 2024 г.","Актобе, ул. Молдагулова","Center Group","https://krisha.kz/complex/show/aktobe/statuscenter/","elite","6-7 этажей","3 м","monolithic","pre-finish",25,"discrete","central","Не указано","фиброцементные панели","both","25","aktobe"
9,"ЖК Domino в Актобе",245000,"Строящийся","2024 г.","Актобе, ул. Мангилик Ел, участок 16Д","ТОО «ANK Partners»","https://krisha.kz/complex/show/aktobe/domino/","comfort","8-9 этажей","3 м","brick","shell",130,"discrete","central","пассажирский","Не указано","surface","Не указано","aktobe"
10,"ЖК Aliya в Актобе",240000,"Строящийся","Первая очередь - IV квартал 2023 г.Вторая очередь - III квартал 2024 г.Третья очередь - IV квартал 2024 г.","Актобе, микрорайон Батыс-2, 49Л","K7 Group","https://krisha.kz/complex/show/aktobe/aliya/","comfort","5 этажей","2.7 м","brick","shell",1040,"both","autonomous","Не указано","облицовочный кирпич","surface","Не указано","aktobe"
11,"ЖК BAITEREK в Актобе",230000,"Строящийся","Первая очередь - I квартал 2023 г.Вторая очередь - III квартал 2023 г.","Актобе, Батыс 2, участок 356А","ТОО NUR TAU AKTOBE","https://krisha.kz/complex/show/aktobe/baiterekk/","comfort","5 этажей","3 м","brick","pre-finish",120,"na","autonomous","Не указано","Не указано","surface","100","aktobe"
12,"ЖК Бастау в Актобе",245000,"Строящийся","I квартал 2023 г.","Актобе, мкрн Батыс 2, 200","ТОО Алым Инжиниринг","https://krisha.kz/complex/show/aktobe/bastau/","comfort","9 этажей","2.7 м","brick","pre-finish",204,"discrete","autonomous","пассажирский","облицовочный кирпич","both","204","aktobe"
13,"ЖК Bereke Park в Актобе",395000,"Строящийся","Первая очередь - IV квартал 2023 г.Вторая очередь - II квартал 2024 г.","Актобе, район Астана, жилой массив Юго-Запад-2, ул.Шалкииз жырау, уч.1","Maksat Development","https://krisha.kz/complex/show/aktobe/berekepark/","business","5 этажей","3.3 м","monolithic","pre-finish",60,"discrete","autonomous","пассажирский","керамическая плитка","surface","18","aktobe"
14,"ЖК Nomad City в Актобе",280000,"Строящийся","IV квартал 2023 г.","Актобе, Батыс 2, уч. 22Е","Nomad Qurylys Company","https://krisha.kz/complex/show/aktobe/nomadcity/","comfort","5 этажей","3 м","brick","shell",98,"discrete","autonomous","пассажирский","клинкерный кирпич","surface","64","aktobe"
15,"ЖК Jibek Joly в Актобе",180000,"Строящийся","IV квартал 2023 г.","Актобе, микрорайон Батыс-2, участок 251В","Batys 2022","https://krisha.kz/complex/show/aktobe/jibekjoly1/","economy","5 этажей","3 м","brick","shell",300,"discrete","autonomous","Не указано","облицовочный кирпич","surface","300","aktobe"
16,"ЖК Коктем в Актобе",250000,"Строящийся","IV квартал 2023 г.","Актобе, ​проспект Тауелсиздик, 15е","ТОО Алым Инжиниринг","https://krisha.kz/complex/show/aktobe/koktem/","comfort","10 этажей","2.7 м","brick","pre-finish",235,"discrete","autonomous","пассажирский, грузопассажирский","керамический кирпич","surface","Не указано","aktobe"
17,"ЖК Комфорт в Актобе",245000,"Строящийся","IV квартал 2023 г.","Актобе, Батыс-2 участок 18Е","Эдельвейс","https://krisha.kz/complex/show/aktobe/komfort/","comfort","5 этажей","2.7 м","brick","shell",60,"discrete","autonomous","пассажирский","Не указано","surface","25","aktobe"
18,"ЖК Рахмет в Актобе",246000,"Строящийся","Первая очередь - II квартал 2023 г.Вторая очередь - III квартал 2023 г.Третья очередь - IV квартал 2023 г.Четвертая очередь - IV квартал 2024 г.","Актобе, мкр.Батыс-2, участок 351","Batys City Group","https://krisha.kz/complex/show/aktobe/rahmet/","comfort","5 этажей","3.1 м","brick","shell",235,"discrete","autonomous","пассажирский","Не указано","surface","85","aktobe"
19,"ЖК RAYAN в Актобе",260000,"Строящийся","III квартал 2023 г.","Актобе, ул. Санкибай батыра 177А","SKB Group","https://krisha.kz/complex/show/aktobe/rayan/","comfort","9 этажей","3 м","brick","shell",144,"discrete","autonomous","пассажирский","облицовочный кирпич","surface","144","aktobe"
20,"ЖК SATYM в Актобе",220000,"Строящийся","IV квартал 2023 г.","Актобе, микрорайон Батыс-2","TOO SATYM GROUP","https://krisha.kz/complex/show/aktobe/satyn/","elite","7 этажей","3 м","brick","pre-finish",189,"discrete","autonomous","грузовой","керамические панели","surface","Не указано","aktobe"
21,"ЖК SUNQAR в Актобе",270000,"Строящийся","Первая очередь - II квартал 2022 г.Вторая очередь - III квартал 2022 г.Третья очередь - IV квартал 2023 г.","Актобе, микрорайон Батыс-2, участок 24Е","TOO Build company Aktobe","https://krisha.kz/complex/show/aktobe/sunqar/","business","5 этажей","3 м","brick","pre-finish",150,"na","na","Не указано","Не указано","surface","Не указано","aktobe"
22,"ЖК ZERE в Актобе",229659,"Строящийся","I квартал 2023 г.","Актобе, Батыс-2, участок 353/3","СК ""Актобе Курылыс""","https://krisha.kz/complex/show/aktobe/zere/","comfort","7 этажей","3 м","brick","shell",123,"discrete","autonomous","пассажирский","керамический кирпич","surface","24","aktobe"
23,"ЖК ZURA в Актобе",270000,"Строящийся","III квартал 2023 г.","Актобе, Батыс-2, Мангилик Ел, 30Б","БахитКурылыс LTD","https://krisha.kz/complex/show/aktobe/zura/","comfort","5 этажей","3 м","brick","shell",135,"discrete","autonomous","пассажирский","облицовочный кирпич","surface","120","aktobe"
24,"ЖК Бавария в Актобе",230000,"Строящийся","I квартал 2025 г.","Актобе, мкр Батыс 2,ул. Мустафы Шокая","Center Group","https://krisha.kz/complex/show/aktobe/bavaria/","comfort","9 этажей","3 м","brick","shell",63,"na","na","пассажирский","Не указано","surface","Не указано","aktobe"
0,"ЖК ORDA TOWN в Абае",350000,"Строящийся","Первая очередь - II квартал 2024 г.Вторая очередь - III квартал 2024 г.Третья очередь - IV квартал 2024 г.","Абай, Карасайский район, сельский округ Райымбекский, квартал 272, участок 70","ТОО Investment Stroy","https://krisha.kz/complex/show/almaty/ordatown/","comfort","12 этажей","2.8 м","monolithic","pre-finish",972,"na","autonomous","грузовой, пассажирский","Не указано","both","897","almatinskaja.oblast.abaj"
0,"ЖК RAMS EVO в Алматы",738000,"Строящийся","I квартал 2026 г.","Алматы, Алмалинский р-н, пересечение Ауэзова и Гоголя","Рамс Казахстан","https://krisha.kz/complex/show/almaty/ramsevo/","business","9-15 этажей","3 м","monolithic","shell",1000,"discrete","central","грузовой, пассажирский","Не указано","both","100","almaty"
1,"ЖК RAMS SAIAHAT в Алматы",696500,"Строящийся","III квартал 2025 г.","Алматы, Жетысуский р-н, пересечении улиц Райымбека и Суюнбая","Рамс Казахстан","https://krisha.kz/complex/show/almaty/ramssaiahat/","comfort","12-16 этажей","3 м","monolithic","shell",855,"discrete","central","грузовой, пассажирский","фиброцементные панели","na","Не указано","almaty"
2,"ЖК Palladium в Алматы",9e+05,"Строящийся","I квартал 2025 г.","Алматы, Алмалинский р-н, ул. Шевченко","Корпорация ВЕК","https://krisha.kz/complex/show/almaty/palladium/","business","9 этажей","3 м","monolithic","pre-finish",75,"both","central","грузовой","декоративная штукатурка","both","75","almaty"
3,"ЖК Koktobe city в Алматы",1200000,"Строящийся","Первая очередь - I квартал 2016 г.Вторая очередь - II квартал 2017 г.Третья очередь - II квартал 2022 г.Четвертая очередь - III квартал 2024 г.","Алматы, Медеуский р-н, ул. Сагадат Нурмагамбетова, 138/2","Kusto Home","https://krisha.kz/complex/show/almaty/koktobe-siti/","elite","5 этажей","3 м","monolithic","pre-finish",392,"both","autonomous","Не указано","клинкерный кирпич","both","Не указано","almaty"
4,"ЖК Tumar в Алматы",758950,"Строящийся","Первая очередь - II квартал 2025 г.Вторая очередь - III квартал 2025 г.","Алматы, Бостандыкский р-н, Пересечение улиц Жандосова Розыбакиева","Корпорация ВЕК","https://krisha.kz/complex/show/almaty/tumar/","comfort","9 этажей","3 м","monolithic","pre-finish",101,"discrete","central","грузовой","Не указано","both","101","almaty"
5,"ЖК Vendome в Алматы",1200000,"Строящийся","III квартал 2025 г.","Алматы, Медеуский р-н, ул. Оспанова, 83/36","ТОО AKSU Group LTD","https://krisha.kz/complex/show/almaty/vendome/","elite","3 этажа","3.3 м","monolithic","shell",84,"na","autonomous","грузопассажирский","Не указано","underground","65","almaty"
6,"ЖК Apple Residence в Алматы",740000,"Строящийся","IV квартал 2024 г.","Алматы, Ауэзовский р-н, улица Аскарова угол Саина","Barys Stroy","https://krisha.kz/complex/show/almaty/appleresidence/","business","12 этажей","3 м","monolithic","shell",308,"discrete","central","грузовой, пассажирский","фиброцементные панели","underground","200","almaty"
7,"ЖК Aspen в Алматы",1100000,"Строящийся","Первая очередь - IV квартал 2024 г.Вторая очередь - II квартал 2025 г.","Алматы, Бостандыкский р-н, ул. Аль-фараби 116/1","MDI Construction","https://krisha.kz/complex/show/almaty/aspen/","business","3 этажа","3.3 м","monolithic","shell",129,"discrete","autonomous","пассажирский","клинкерный кирпич, травертин","both","30","almaty"
8,"ЖК Abay 130 в Алматы",780000,"Строящийся","Первая очередь - IV квартал 2018 г.Вторая очередь - I квартал 2021 г.Третья очередь - I квартал 2023 г.Четвертая очередь - IV квартал 2023 г.Пятая очередь - IV квартал 2024 г.Шестая очередь - I квартал 2025 г.","Алматы, Бостандыкский р-н, проспект Абая, 130","Tau Development","https://krisha.kz/complex/show/abay-130/","business","9 этажей","3 м","monolithic","pre-finish",288,"discrete","central","грузопассажирский","фиброцементные панели","underground","144","almaty"
9,"ЖК Maxima City в Алматы",475000,"Строящийся","Первая очередь - I квартал 2025 г.Вторая очередь - III квартал 2025 г.","Алматы, Жетысуский р-н, пр. Райымбека уч. 241","KazSMU","https://krisha.kz/complex/show/almaty/maximacity/","economy","7-9 этажей","2.7 м","monolithic","shell",124,"discrete","central","грузовой","Не указано","both","124","almaty"
10,"Клубный дом Alma Tau Residence в Алматы",1100000,"Строящийся","III квартал 2024 г.","Алматы, Медеуский р-н, ул. Ондасынова, 20А","Amanat Group","https://krisha.kz/complex/show/almaty/almatauresidence/","business","3 этажа","3 м","monolithic","shell",74,"both","autonomous","грузопассажирский","керамогранит","both","6","almaty"
11,"ЖК Kamila в Алматы",370000,"Строящийся","IV квартал 2024 г.","Алматы, Алатауский р-н, ул. Басаркобыз, 1/15","Aspan Development","https://krisha.kz/complex/show/almaty/kamila/","comfort","5 этажей","2.8 м","monolithic","shell",300,"discrete","central","пассажирский","Не указано","surface","300","almaty"
12,"ЖК Millennium Park в Алматы",620000,"Строящийся","IV квартал 2024 г.","Алматы, Алмалинский р-н, ул. Ауэзова, 2/4","Monumental Building","https://krisha.kz/complex/show/almaty/milleniumpark/","comfort","16 этажей","2.9 м","monolithic","pre-finish",175,"discrete","central","грузовой, пассажирский","фиброцементные панели","both","310","almaty"
13,"Клубный дом Seneca в Алматы",1200000,"Строящийся","III квартал 2024 г.","Алматы, Медеуский р-н, ул. Керей Жанибек Хандар 29/5","Seneca Partners","https://krisha.kz/complex/show/almaty/seneca/","business","3 этажа","3.3 м","monolithic","shell",44,"discrete","autonomous","грузопассажирский","Не указано","underground","12","almaty"
